tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-D060,Davis Cup G1 PO: SVK vs UKR,Clay,4,D,20110916,1,105373,,,Martin Klizan,L,190.0,SVK,22.1711156742,86.0,617.0,105011,,,Illya Marchenko,R,185.0,UKR,24.010951403100000,153.0,360.0,6-7(4) 6-3 6-1 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D060,Davis Cup G1 PO: SVK vs UKR,Clay,4,D,20110916,2,104660,,,Sergiy Stakhovsky,R,193.0,UKR,25.6810403833,63.0,745.0,104965,,,Pavol Cervenak,R,,SVK,24.1998631075,253.0,191.0,7-5 6-2 6-1,5,RR,,,,,,,,,,,,,,,,,,,
2011-D060,Davis Cup G1 PO: SVK vs UKR,Clay,4,D,20110916,3,105373,,,Martin Klizan,L,190.0,SVK,22.1711156742,86.0,617.0,104660,,,Sergiy Stakhovsky,R,193.0,UKR,25.6810403833,63.0,745.0,6-4 3-6 7-6(6) 6-2,5,RR,,,,,,,,,,,,,,,,,,,
2011-D060,Davis Cup G1 PO: SVK vs UKR,Clay,4,D,20110916,4,104965,,,Pavol Cervenak,R,,SVK,24.1998631075,253.0,191.0,105085,,,Artem Smirnov,U,,UKR,23.608487337400000,294.0,158.0,6-4 6-4,3,RR,,,,,,,,,,,,,,,,,,,
2011-D061,Davis Cup G2 R2: PER vs DOM,Clay,4,D,20110708,1,105935,,,Duilio Beretta,U,,PER,19.3538672142,446.0,76.0,103638,,,Jhonson Garcia,R,,DOM,30.7542778919,,,6-3 6-4 7-5,5,RR,,,,,,,,,,,,,,,,,,,
2011-D061,Davis Cup G2 R2: PER vs DOM,Clay,4,D,20110708,2,103607,,,Victor Estrella,R,173.0,DOM,30.9185489391,210.0,239.0,103525,,,Ivan Miranda,R,175.0,PER,31.3210130048,674.0,26.0,6-4 7-5 1-6 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D061,Davis Cup G2 R2: PER vs DOM,Clay,4,D,20110708,3,105935,,,Duilio Beretta,U,,PER,19.3538672142,446.0,76.0,103607,,,Victor Estrella,R,173.0,DOM,30.9185489391,210.0,239.0,7-5 6-3 6-7(4) 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D062,Davis Cup G2 R2: PAR vs VEN,Clay,4,D,20110708,1,105912,,,Diego Galeano,U,,PAR,19.4195756331,677.0,26.0,104942,,,Roman Recarte,U,,VEN,24.073921971300000,600.0,37.0,6-4 7-6(3) 6-3,5,RR,,,,,,,,,,,,,,,,,,,
2011-D062,Davis Cup G2 R2: PAR vs VEN,Clay,4,D,20110708,2,105961,,,David Souto,L,,VEN,19.2717316906,408.0,91.0,105367,,,Daniel Alejandro Lopez Cassaccia,R,,PAR,22.0013689254,764.0,18.0,7-6(4) 7-5 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D062,Davis Cup G2 R2: PAR vs VEN,Clay,4,D,20110708,3,105912,,,Diego Galeano,U,,PAR,19.4195756331,677.0,26.0,105961,,,David Souto,L,,VEN,19.2717316906,408.0,91.0,4-6 6-3 6-4 6-4,5,RR,,,,,,,,,,,,,,,,,,,
2011-D063,Davis Cup G2 PO: ESA vs AHO,Clay,4,D,20110708,1,104996,,,Alexander Blom,U,,AHO,23.8795345654,,,104763,,,Rafael Arevalo,U,,ESA,24.9993155373,1311.0,2.0,4-6 6-1 6-2 7-5,5,RR,,,,,,,,,,,,,,,,,,,
